Command: /home/users/yves6512/Project/hardware/./simv +HEX=tb6.hex -l run.log
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version V-2023.12_Full64; Runtime version V-2023.12_Full64;  Dec 19 04:27 2025
*Verdi* Loading libsscore_vcs202312.so
FSDB Dumper for VCS, Release Verdi_V-2023.12, Linux x86_64/64bit, 11/15/2023
(C) 1996 - 2023 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scope (controller_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scope (controller_tb.dut), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
[TB] Using HEX file:                                                                                                                          tb6.hex
[TB] Loaded 26 words from                                                                                                                          tb6.hex
[265000] PC=0  instr=xxxxxxxx  asic_done=0
[275000] PC=0  instr=00000001  asic_done=0
[285000] PC=4  instr=00000001  asic_done=0
[295000] PC=8  instr=00000441  asic_done=0
[305000] PC=12  instr=00000881  asic_done=0
[315000] PC=16  instr=00000cc1  asic_done=0
[325000] PC=20  instr=00001101  asic_done=0
[335000] PC=24  instr=00001541  asic_done=0
[345000] PC=28  instr=00001981  asic_done=0
[355000] PC=32  instr=00001dc1  asic_done=0
[365000] PC=36  instr=00002201  asic_done=0
[375000] PC=40  instr=00002641  asic_done=0
[385000] PC=44  instr=00002a81  asic_done=0
[395000] PC=48  instr=00002ec1  asic_done=0
[405000] PC=52  instr=00003301  asic_done=0
[415000] PC=56  instr=02400405  asic_done=0
[425000] PC=60  instr=0000005d  asic_done=0
[435000] PC=64  instr=00000000  asic_done=0
[445000] PC=64  instr=00120004  asic_done=0
[455000] PC=64  instr=00120004  asic_done=0
[465000] PC=64  instr=00120004  asic_done=0
[475000] PC=64  instr=00120004  asic_done=0
[485000] PC=64  instr=00120004  asic_done=0
[495000] PC=64  instr=00120004  asic_done=0
[505000] PC=64  instr=00120004  asic_done=0
[515000] PC=64  instr=00120004  asic_done=0
[525000] PC=64  instr=00120004  asic_done=0
[535000] PC=64  instr=00120004  asic_done=0
[545000] PC=64  instr=00120004  asic_done=0
[555000] PC=64  instr=00120004  asic_done=0
[565000] PC=64  instr=00120004  asic_done=0
[575000] PC=64  instr=00120004  asic_done=0
[585000] PC=64  instr=00120004  asic_done=0
[595000] PC=64  instr=00120004  asic_done=0
[605000] PC=64  instr=00120004  asic_done=0
[615000] PC=64  instr=00120004  asic_done=0
[625000] PC=64  instr=00120004  asic_done=0
[635000] PC=64  instr=00120004  asic_done=0
[645000] PC=64  instr=00120004  asic_done=0
[655000] PC=64  instr=00120004  asic_done=0
[665000] PC=64  instr=00120004  asic_done=0
[675000] PC=64  instr=00120004  asic_done=0
[685000] PC=64  instr=00120004  asic_done=0
[695000] PC=64  instr=00120004  asic_done=0
[705000] PC=64  instr=00120004  asic_done=0
[715000] PC=64  instr=00120004  asic_done=0
[725000] PC=64  instr=00120004  asic_done=0
[735000] PC=64  instr=00120004  asic_done=0
[745000] PC=64  instr=00120004  asic_done=0
[755000] PC=64  instr=00120004  asic_done=0
[765000] PC=64  instr=00120004  asic_done=0
[775000] PC=64  instr=00120004  asic_done=0
[785000] PC=64  instr=00120004  asic_done=0
[795000] PC=64  instr=00120004  asic_done=0
[805000] PC=64  instr=00120004  asic_done=0
[815000] PC=64  instr=00120004  asic_done=0
[825000] PC=64  instr=00120004  asic_done=0
[835000] PC=64  instr=00120004  asic_done=0
[845000] PC=64  instr=00120004  asic_done=0
[855000] PC=64  instr=00120004  asic_done=0
[865000] PC=64  instr=00120004  asic_done=0
[875000] PC=64  instr=00120004  asic_done=0
[885000] PC=64  instr=00120004  asic_done=0
[895000] PC=64  instr=00120004  asic_done=0
[905000] PC=64  instr=00120004  asic_done=0
[915000] PC=64  instr=00120004  asic_done=0
[925000] PC=64  instr=00120004  asic_done=0
[935000] PC=64  instr=00120004  asic_done=0
[945000] PC=64  instr=00120004  asic_done=0
[955000] PC=64  instr=00120004  asic_done=0
[965000] PC=64  instr=00120004  asic_done=0
[975000] PC=64  instr=00120004  asic_done=0
[985000] PC=64  instr=00120004  asic_done=0
[995000] PC=64  instr=00120004  asic_done=0
[1005000] PC=64  instr=00120004  asic_done=0
[1015000] PC=64  instr=00120004  asic_done=0
[1025000] PC=64  instr=00120004  asic_done=0
[1035000] PC=64  instr=00120004  asic_done=0
[1045000] PC=64  instr=00120004  asic_done=0
[1055000] PC=64  instr=00120004  asic_done=0
[1065000] PC=64  instr=00120004  asic_done=0
[1075000] PC=64  instr=00120004  asic_done=0
[1085000] PC=64  instr=00120004  asic_done=0
[1095000] PC=64  instr=00120004  asic_done=0
[1105000] PC=64  instr=00120004  asic_done=0
[1115000] PC=64  instr=00120004  asic_done=0
[1125000] PC=64  instr=00120004  asic_done=0
[1135000] PC=64  instr=00120004  asic_done=0
[1145000] PC=64  instr=00120004  asic_done=0
[1155000] PC=64  instr=00120004  asic_done=0
[1165000] PC=64  instr=00120004  asic_done=0
[1175000] PC=64  instr=00120004  asic_done=0
[1185000] PC=64  instr=00120004  asic_done=0
[1195000] PC=64  instr=00120004  asic_done=0
[1205000] PC=64  instr=00120004  asic_done=0
[1215000] PC=64  instr=00120004  asic_done=0
[1225000] PC=64  instr=00120004  asic_done=0
[1235000] PC=64  instr=00120004  asic_done=0
[1245000] PC=64  instr=00120004  asic_done=0
[1255000] PC=64  instr=00120004  asic_done=0
[1265000] PC=64  instr=00120004  asic_done=0
[1275000] PC=64  instr=00120004  asic_done=0
[1285000] PC=64  instr=00120004  asic_done=0
[1295000] PC=64  instr=00120004  asic_done=0
[1305000] PC=64  instr=00120004  asic_done=0
[1315000] PC=64  instr=00120004  asic_done=0
[1325000] PC=64  instr=00120004  asic_done=0
[1335000] PC=64  instr=00120004  asic_done=0
[1345000] PC=64  instr=00120004  asic_done=0
[1355000] PC=64  instr=00120004  asic_done=0
[1365000] PC=64  instr=00120004  asic_done=0
[1375000] PC=64  instr=00120004  asic_done=0
[1385000] PC=64  instr=00120004  asic_done=0
[1395000] PC=64  instr=00120004  asic_done=0
[1405000] PC=64  instr=00120004  asic_done=0
[1415000] PC=64  instr=00120004  asic_done=0
[1425000] PC=64  instr=00120004  asic_done=0
[1435000] PC=64  instr=00120004  asic_done=0
[1445000] PC=64  instr=00120004  asic_done=0
[1455000] PC=64  instr=00120004  asic_done=0
[1465000] PC=64  instr=00120004  asic_done=0
[1475000] PC=64  instr=00120004  asic_done=0
[1485000] PC=64  instr=00120004  asic_done=0
[1495000] PC=64  instr=00120004  asic_done=0
[1505000] PC=64  instr=00120004  asic_done=0
[1515000] PC=64  instr=00120004  asic_done=0
[1525000] PC=64  instr=00120004  asic_done=0
[1535000] PC=64  instr=00120004  asic_done=0
[1545000] PC=64  instr=00120004  asic_done=0
[1555000] PC=64  instr=00120004  asic_done=0
[1565000] PC=64  instr=00120004  asic_done=0
[1575000] PC=64  instr=00120004  asic_done=0
[1585000] PC=64  instr=00120004  asic_done=0
[1595000] PC=64  instr=00120004  asic_done=0
[1605000] PC=64  instr=00120004  asic_done=0
[1615000] PC=64  instr=00120004  asic_done=0
[1625000] PC=64  instr=00120004  asic_done=0
[1635000] PC=64  instr=00120004  asic_done=0
[1645000] PC=64  instr=00120004  asic_done=0
[1655000] PC=64  instr=00120004  asic_done=0
[1665000] PC=64  instr=00120004  asic_done=0
[1675000] PC=64  instr=00120004  asic_done=0
[1685000] PC=64  instr=00120004  asic_done=0
[1695000] PC=64  instr=00120004  asic_done=0
[1705000] PC=64  instr=00120004  asic_done=0
[1715000] PC=64  instr=00120004  asic_done=0
[1725000] PC=64  instr=00120004  asic_done=0
[1735000] PC=64  instr=00120004  asic_done=0
[1745000] PC=64  instr=00120004  asic_done=0
[1755000] PC=64  instr=00120004  asic_done=0
[1765000] PC=64  instr=00120004  asic_done=0
[1775000] PC=64  instr=00120004  asic_done=0
[1785000] PC=64  instr=00120004  asic_done=0
[1795000] PC=64  instr=00120004  asic_done=0
[1805000] PC=64  instr=00120004  asic_done=0
[1815000] PC=64  instr=00120004  asic_done=0
[1825000] PC=64  instr=00120004  asic_done=0
[1835000] PC=64  instr=00120004  asic_done=0
[1845000] PC=64  instr=00120004  asic_done=0
[1855000] PC=64  instr=00120004  asic_done=0
[1865000] PC=64  instr=00120004  asic_done=0
[1875000] PC=64  instr=00120004  asic_done=0
[1885000] PC=64  instr=00120004  asic_done=0
[1895000] PC=64  instr=00120004  asic_done=0
[1905000] PC=64  instr=00120004  asic_done=0
[1915000] PC=64  instr=00120004  asic_done=0
[1925000] PC=64  instr=00120004  asic_done=0
[1935000] PC=64  instr=00120004  asic_done=0
[1945000] PC=64  instr=00120004  asic_done=0
[1955000] PC=64  instr=00120004  asic_done=0
[1965000] PC=64  instr=00120004  asic_done=0
[1975000] PC=64  instr=00120004  asic_done=0
[1985000] PC=64  instr=00120004  asic_done=0
[1995000] PC=64  instr=00120004  asic_done=0
[2005000] PC=64  instr=00120004  asic_done=0
[2015000] PC=64  instr=00120004  asic_done=0
[2025000] PC=64  instr=00120004  asic_done=0
[2035000] PC=64  instr=00120004  asic_done=0
[2045000] PC=64  instr=00120004  asic_done=0
[2055000] PC=64  instr=00120004  asic_done=0
[2065000] PC=64  instr=00120004  asic_done=0
[2075000] PC=64  instr=00120004  asic_done=0
[2085000] PC=64  instr=00120004  asic_done=0
[2095000] PC=64  instr=00120004  asic_done=0
[2105000] PC=64  instr=00120004  asic_done=0
[2115000] PC=64  instr=00120004  asic_done=0
[2125000] PC=64  instr=00120004  asic_done=0
[2135000] PC=64  instr=00120004  asic_done=0
[2145000] PC=64  instr=00120004  asic_done=0
[2155000] PC=64  instr=00120004  asic_done=0
[2165000] PC=64  instr=00120004  asic_done=0
[2175000] PC=64  instr=00120004  asic_done=0
[2185000] PC=64  instr=00120004  asic_done=0
[2195000] PC=64  instr=00120004  asic_done=0
[2205000] PC=64  instr=00120004  asic_done=0
[2215000] PC=64  instr=00120004  asic_done=0
[2225000] PC=64  instr=00120004  asic_done=0
[2235000] PC=64  instr=00120004  asic_done=0
[2245000] PC=64  instr=00120004  asic_done=0
[2255000] PC=64  instr=00120004  asic_done=0
[2265000] PC=64  instr=00120004  asic_done=0
[2275000] PC=64  instr=00120004  asic_done=0
[2285000] PC=64  instr=00120004  asic_done=0
[2295000] PC=64  instr=00120004  asic_done=0
[2305000] PC=64  instr=00120004  asic_done=0
[2315000] PC=64  instr=00120004  asic_done=0
[2325000] PC=64  instr=00120004  asic_done=0
[2335000] PC=64  instr=00120004  asic_done=0
[2345000] PC=64  instr=00120004  asic_done=0
[2355000] PC=64  instr=00120004  asic_done=0
[2365000] PC=64  instr=00120004  asic_done=0
[2375000] PC=64  instr=00120004  asic_done=0
[2385000] PC=64  instr=00120004  asic_done=0
[2395000] PC=64  instr=00120004  asic_done=0
[2405000] PC=64  instr=00120004  asic_done=0
[2415000] PC=64  instr=00120004  asic_done=0
[2425000] PC=64  instr=00120004  asic_done=0
[2435000] PC=64  instr=00120004  asic_done=0
[2445000] PC=64  instr=00120004  asic_done=0
[2455000] PC=64  instr=00120004  asic_done=0
[2465000] PC=64  instr=00120004  asic_done=0
[2475000] PC=64  instr=00120004  asic_done=0
[2485000] PC=64  instr=00120004  asic_done=0
[2495000] PC=64  instr=00120004  asic_done=0
[2505000] PC=64  instr=00120004  asic_done=0
[2515000] PC=64  instr=00120004  asic_done=0
[2525000] PC=64  instr=00120004  asic_done=0
[2535000] PC=64  instr=00120004  asic_done=0
[2545000] PC=64  instr=00120004  asic_done=0
[2555000] PC=64  instr=00120004  asic_done=0
[2565000] PC=64  instr=00120004  asic_done=0
[2575000] PC=64  instr=00120004  asic_done=0
[2585000] PC=64  instr=00120004  asic_done=0
[2595000] PC=64  instr=00120004  asic_done=0
[2605000] PC=64  instr=00120004  asic_done=0
[2615000] PC=64  instr=00120004  asic_done=0
[2625000] PC=64  instr=00120004  asic_done=0
[2635000] PC=64  instr=00120004  asic_done=0
[2645000] PC=64  instr=00120004  asic_done=0
[2655000] PC=64  instr=00120004  asic_done=0
[2665000] PC=64  instr=00120004  asic_done=0
[2675000] PC=64  instr=00120004  asic_done=0
[2685000] PC=64  instr=00120004  asic_done=0
[2695000] PC=64  instr=00120004  asic_done=0
[2705000] PC=64  instr=00120004  asic_done=0
[2715000] PC=64  instr=00120004  asic_done=0
[2725000] PC=64  instr=00120004  asic_done=0
[2735000] PC=64  instr=00120004  asic_done=0
[2745000] PC=64  instr=00120004  asic_done=0
[2755000] PC=64  instr=00120004  asic_done=0
[2765000] PC=64  instr=00120004  asic_done=0
[2775000] PC=64  instr=00120004  asic_done=0
[2785000] PC=64  instr=00120004  asic_done=0
[2795000] PC=64  instr=00120004  asic_done=0
[2805000] PC=64  instr=00120004  asic_done=0
[2815000] PC=64  instr=00120004  asic_done=0
[2825000] PC=64  instr=00120004  asic_done=0
[2835000] PC=64  instr=00120004  asic_done=0
[2845000] PC=64  instr=00120004  asic_done=0
[2855000] PC=64  instr=00120004  asic_done=0
[2865000] PC=64  instr=00120004  asic_done=0
[2875000] PC=64  instr=00120004  asic_done=0
[2885000] PC=64  instr=00120004  asic_done=0
