
================ DEBUG INFO ================
觀察對象: C[0][0]
公式: sum += A[0][k] * B[k][0]
--------------------------------------------
 k |  A_val (Hex) |  B_val (Hex) |     Product      |   Current Sum
---|--------------|--------------|------------------|------------------
71 |       E3   |       9A   |         FFFFD88E |             877C
143 |       A2   |        F   |              1FE |             C68C
215 |       A5   |       42   |              98A |            1A67E
287 |       DE   |       81   |         FFFFD15E |            2517D
359 |       27   |       DE   |              BD2 |            15CB0
431 |       4B   |       42   |         FFFFF256 |            10AB2
503 |       B1   |       95   |         FFFFEB85 |            227E7
575 |       EE   |       6C   |             2E68 |            27668
647 |       A4   |        5   |               B4 |            14664
719 |       F9   |       E6   |         FFFFF3B6 |            242B6
791 |       3A   |       C4   |             1068 |            308D6
863 |        F   |       85   |             364B |            39E62
935 |       71   |        F   |         FFFFFF1F |            37851
1007 |       D5   |       46   |             173E |            30EFD
1079 |       1F   |       94   |             28EC |            2F081
1151 |       75   |       57   |         FFFFFC43 |            2E710
1223 |        E   |       64   |         FFFFD378 |            2892F
1295 |       38   |       12   |         FFFFFAF0 |            245D6
1367 |       28   |       B3   |             1A78 |            234BE
1439 |       1A   |       BA   |             1BE4 |            1AC6E
1511 |       87   |       1C   |               C4 |            153BC
1583 |       16   |       6C   |         FFFFD348 |             8ACF
1655 |        A   |       25   |         FFFFEEF2 |             CF81
1727 |       46   |       1B   |         FFFFF9E2 |         FFFFC3A7
1799 |       94   |       AC   |         FFFFF970 |             3599
1871 |       78   |       6D   |         FFFFFC98 |             E67A
1943 |       D2   |       7D   |             280A |            16320
2015 |       C4   |       28   |              AA0 |            124D6
2087 |       6D   |       1A   |         FFFFFE12 |            1EE38
2159 |       B1   |        C   |              24C |            1C37D
2231 |       17   |       62   |         FFFFD7CE |            258A2
2303 |       96   |       F5   |         FFFFFF0E |            2551C
2375 |       F0   |       F7   |         FFFFFC10 |            33B4D
2447 |       74   |       B2   |              3A8 |            387B9
2519 |       B4   |       71   |             16F4 |            375F0
2591 |        E   |       3C   |         FFFFE548 |            2D9C9
2663 |       4B   |       F4   |              27C |            38F56
2735 |       D6   |       D7   |         FFFFF23A |            2A752
2807 |        F   |       2C   |         FFFFEC94 |            1E6C4
2879 |       82   |        C   |               18 |            2357B
2951 |       E2   |       DB   |         FFFFF1D6 |            24ED9
3023 |       3E   |       8D   |             1DA6 |            2562E
3095 |       A5   |       A7   |         FFFFF323 |            311FB
3167 |       EE   |       87   |         FFFFCC02 |            21949
3239 |       E3   |       3A   |             166E |            1BE7C
3311 |       D7   |       14   |              6CC |            269FC
3383 |       8F   |       62   |              5BE |            2F433
3455 |       89   |       82   |         FFFFFB92 |            28000
3527 |       B9   |       C1   |         FFFFF1F9 |            2CE72
3599 |       C5   |       A4   |         FFFFE734 |            413E4
3671 |       E6   |       4F   |             1F7A |            3BDEF
3743 |       72   |       C3   |              356 |            388BB
3815 |       1F   |       23   |         FFFFF2BD |            3B20C
3887 |       78   |       64   |         FFFFFCE0 |            41FF3
3959 |       31   |       25   |         FFFFF495 |            581AE
4031 |       B4   |       22   |              6E8 |            55209
4103 |       CE   |       62   |             1DDC |            49986
4175 |        E   |       E6   |              B94 |            5D05D
4247 |       99   |       F8   |         FFFFFF38 |            59F48
4319 |       8A   |       5F   |              3B6 |            59281
4391 |       4C   |       C3   |              C64 |            80647
4463 |       B2   |       6B   |             14E6 |            83039
4535 |       9B   |       DA   |         FFFFFBFE |            87D41
4607 |        2   |       9F   |             2FBE |            818A1
4679 |       EB   |       7B   |             3369 |            903B5
4751 |       93   |        3   |               39 |            8BE65
4823 |       FC   |       22   |             1078 |            94A8B
4895 |       30   |       AD   |             19F0 |            A0BD1
4967 |       D0   |       F1   |         FFFFFB50 |            967D0
5039 |       1C   |       4A   |         FFFFE318 |            7919B
5111 |       1E   |       39   |         FFFFEA2E |            8027D
5183 |       7D   |       D4   |               84 |            7B8A7
5255 |       CC   |        5   |              17C |            8033B
5327 |       FC   |       4E   |             25C8 |            72FBC
5399 |       AD   |       BC   |         FFFFF40C |            823F8
5471 |       8A   |       60   |              3C0 |            87AB4
5543 |       B3   |       6E   |             15EA |            72675
5615 |       CD   |       C4   |         FFFFEDF4 |            74874
5687 |       A2   |       21   |              462 |            6C78B
5759 |       8C   |       92   |         FFFFFAD8 |            71286
