--------------------------------------------------
[TB] Compare DRAM OFMAP vs GOLDEN
[TB] ofmap_base = 0x00001b00, bytes = 8192
--------------------------------------------------
Result | Index | Address    | DUT  | Golden
-------|-------|------------|------|-------
[OK ]  |     0 | 0x00001b00 | 0x9a | 0x9a
[OK ]  |     1 | 0x00001b01 | 0xc7 | 0xc7
[OK ]  |     2 | 0x00001b02 | 0x00 | 0x00
[OK ]  |     3 | 0x00001b03 | 0x00 | 0x00
[OK ]  |     4 | 0x00001b04 | 0xcb | 0xcb
[OK ]  |     5 | 0x00001b05 | 0xcf | 0xcf
[OK ]  |     6 | 0x00001b06 | 0x00 | 0x00
[OK ]  |     7 | 0x00001b07 | 0x00 | 0x00
[OK ]  |     8 | 0x00001b08 | 0x78 | 0x78
[OK ]  |     9 | 0x00001b09 | 0x82 | 0x82
[OK ]  |    10 | 0x00001b0a | 0xff | 0xff
[OK ]  |    11 | 0x00001b0b | 0xff | 0xff
[OK ]  |    12 | 0x00001b0c | 0xc1 | 0xc1
[OK ]  |    13 | 0x00001b0d | 0x8a | 0x8a
[OK ]  |    14 | 0x00001b0e | 0xff | 0xff
[OK ]  |    15 | 0x00001b0f | 0xff | 0xff
[OK ]  |    16 | 0x00001b10 | 0x85 | 0x85
[OK ]  |    17 | 0x00001b11 | 0xe4 | 0xe4
[OK ]  |    18 | 0x00001b12 | 0xff | 0xff
[OK ]  |    19 | 0x00001b13 | 0xff | 0xff
[OK ]  |    20 | 0x00001b14 | 0x47 | 0x47
[OK ]  |    21 | 0x00001b15 | 0x96 | 0x96
[OK ]  |    22 | 0x00001b16 | 0xff | 0xff
[OK ]  |    23 | 0x00001b17 | 0xff | 0xff
[OK ]  |    24 | 0x00001b18 | 0x7b | 0x7b
[OK ]  |    25 | 0x00001b19 | 0x94 | 0x94
[OK ]  |    26 | 0x00001b1a | 0x00 | 0x00
[OK ]  |    27 | 0x00001b1b | 0x00 | 0x00
[OK ]  |    28 | 0x00001b1c | 0xc8 | 0xc8
[OK ]  |    29 | 0x00001b1d | 0x62 | 0x62
[OK ]  |    30 | 0x00001b1e | 0x01 | 0x01
[OK ]  |    31 | 0x00001b1f | 0x00 | 0x00
[OK ]  |    32 | 0x00001b20 | 0x62 | 0x62
[OK ]  |    33 | 0x00001b21 | 0x6f | 0x6f
[OK ]  |    34 | 0x00001b22 | 0x00 | 0x00
[OK ]  |    35 | 0x00001b23 | 0x00 | 0x00
[OK ]  |    36 | 0x00001b24 | 0x37 | 0x37
[OK ]  |    37 | 0x00001b25 | 0x82 | 0x82
[OK ]  |    38 | 0x00001b26 | 0xff | 0xff
[OK ]  |    39 | 0x00001b27 | 0xff | 0xff
[OK ]  |    40 | 0x00001b28 | 0x40 | 0x40
[OK ]  |    41 | 0x00001b29 | 0xc0 | 0xc0
[OK ]  |    42 | 0x00001b2a | 0x00 | 0x00
[OK ]  |    43 | 0x00001b2b | 0x00 | 0x00
[OK ]  |    44 | 0x00001b2c | 0x60 | 0x60
[OK ]  |    45 | 0x00001b2d | 0x53 | 0x53
[OK ]  |    46 | 0x00001b2e | 0xff | 0xff
[OK ]  |    47 | 0x00001b2f | 0xff | 0xff
[OK ]  |    48 | 0x00001b30 | 0x46 | 0x46
[OK ]  |    49 | 0x00001b31 | 0x48 | 0x48
[OK ]  |    50 | 0x00001b32 | 0x00 | 0x00
[OK ]  |    51 | 0x00001b33 | 0x00 | 0x00
[OK ]  |    52 | 0x00001b34 | 0x0e | 0x0e
[OK ]  |    53 | 0x00001b35 | 0x5f | 0x5f
[OK ]  |    54 | 0x00001b36 | 0x00 | 0x00
[OK ]  |    55 | 0x00001b37 | 0x00 | 0x00
[OK ]  |    56 | 0x00001b38 | 0xbe | 0xbe
[OK ]  |    57 | 0x00001b39 | 0x47 | 0x47
[OK ]  |    58 | 0x00001b3a | 0xff | 0xff
[OK ]  |    59 | 0x00001b3b | 0xff | 0xff
[OK ]  |    60 | 0x00001b3c | 0xbd | 0xbd
[OK ]  |    61 | 0x00001b3d | 0xf7 | 0xf7
[OK ]  |    62 | 0x00001b3e | 0x00 | 0x00
[OK ]  |    63 | 0x00001b3f | 0x00 | 0x00
[OK ]  |    64 | 0x00001b40 | 0xc8 | 0xc8
[OK ]  |    65 | 0x00001b41 | 0xcf | 0xcf
[OK ]  |    66 | 0x00001b42 | 0x00 | 0x00
[OK ]  |    67 | 0x00001b43 | 0x00 | 0x00
[OK ]  |    68 | 0x00001b44 | 0x60 | 0x60
[OK ]  |    69 | 0x00001b45 | 0x41 | 0x41
[OK ]  |    70 | 0x00001b46 | 0x00 | 0x00
[OK ]  |    71 | 0x00001b47 | 0x00 | 0x00
[OK ]  |    72 | 0x00001b48 | 0xbc | 0xbc
[OK ]  |    73 | 0x00001b49 | 0xca | 0xca
[OK ]  |    74 | 0x00001b4a | 0xff | 0xff
[OK ]  |    75 | 0x00001b4b | 0xff | 0xff
[OK ]  |    76 | 0x00001b4c | 0xc4 | 0xc4
[OK ]  |    77 | 0x00001b4d | 0x90 | 0x90
[OK ]  |    78 | 0x00001b4e | 0xfe | 0xfe
[OK ]  |    79 | 0x00001b4f | 0xff | 0xff
[OK ]  |    80 | 0x00001b50 | 0xd1 | 0xd1
[OK ]  |    81 | 0x00001b51 | 0x0d | 0x0d
[OK ]  |    82 | 0x00001b52 | 0xff | 0xff
[OK ]  |    83 | 0x00001b53 | 0xff | 0xff
[OK ]  |    84 | 0x00001b54 | 0x1e | 0x1e
[OK ]  |    85 | 0x00001b55 | 0x7d | 0x7d
[OK ]  |    86 | 0x00001b56 | 0xfe | 0xfe
[OK ]  |    87 | 0x00001b57 | 0xff | 0xff
[OK ]  |    88 | 0x00001b58 | 0x23 | 0x23
[OK ]  |    89 | 0x00001b59 | 0xe6 | 0xe6
[OK ]  |    90 | 0x00001b5a | 0x00 | 0x00
[OK ]  |    91 | 0x00001b5b | 0x00 | 0x00
[OK ]  |    92 | 0x00001b5c | 0x42 | 0x42
[OK ]  |    93 | 0x00001b5d | 0x84 | 0x84
[OK ]  |    94 | 0x00001b5e | 0xfe | 0xfe
[OK ]  |    95 | 0x00001b5f | 0xff | 0xff
[OK ]  |    96 | 0x00001b60 | 0xf3 | 0xf3
[OK ]  |    97 | 0x00001b61 | 0xbd | 0xbd
[OK ]  |    98 | 0x00001b62 | 0x00 | 0x00
[OK ]  |    99 | 0x00001b63 | 0x00 | 0x00
[OK ]  |   100 | 0x00001b64 | 0x76 | 0x76
[OK ]  |   101 | 0x00001b65 | 0x80 | 0x80
[OK ]  |   102 | 0x00001b66 | 0x00 | 0x00
[OK ]  |   103 | 0x00001b67 | 0x00 | 0x00
[OK ]  |   104 | 0x00001b68 | 0x00 | 0x00
[OK ]  |   105 | 0x00001b69 | 0x84 | 0x84
[OK ]  |   106 | 0x00001b6a | 0xfe | 0xfe
[OK ]  |   107 | 0x00001b6b | 0xff | 0xff
[OK ]  |   108 | 0x00001b6c | 0x1d | 0x1d
[OK ]  |   109 | 0x00001b6d | 0x02 | 0x02
[OK ]  |   110 | 0x00001b6e | 0xff | 0xff
[OK ]  |   111 | 0x00001b6f | 0xff | 0xff
[OK ]  |   112 | 0x00001b70 | 0xc8 | 0xc8
[OK ]  |   113 | 0x00001b71 | 0x20 | 0x20
[OK ]  |   114 | 0x00001b72 | 0x00 | 0x00
[OK ]  |   115 | 0x00001b73 | 0x00 | 0x00
[OK ]  |   116 | 0x00001b74 | 0x5d | 0x5d
[OK ]  |   117 | 0x00001b75 | 0xc9 | 0xc9
[OK ]  |   118 | 0x00001b76 | 0xff | 0xff
[OK ]  |   119 | 0x00001b77 | 0xff | 0xff
[OK ]  |   120 | 0x00001b78 | 0xfe | 0xfe
[OK ]  |   121 | 0x00001b79 | 0x9f | 0x9f
[OK ]  |   122 | 0x00001b7a | 0xfe | 0xfe
[OK ]  |   123 | 0x00001b7b | 0xff | 0xff
[OK ]  |   124 | 0x00001b7c | 0x5f | 0x5f
[OK ]  |   125 | 0x00001b7d | 0xe9 | 0xe9
[OK ]  |   126 | 0x00001b7e | 0x00 | 0x00
[OK ]  |   127 | 0x00001b7f | 0x00 | 0x00
[OK ]  |   128 | 0x00001b80 | 0xf0 | 0xf0
[OK ]  |   129 | 0x00001b81 | 0x99 | 0x99
[OK ]  |   130 | 0x00001b82 | 0x01 | 0x01
[OK ]  |   131 | 0x00001b83 | 0x00 | 0x00
[OK ]  |   132 | 0x00001b84 | 0x8c | 0x8c
[OK ]  |   133 | 0x00001b85 | 0xc5 | 0xc5
[OK ]  |   134 | 0x00001b86 | 0xfe | 0xfe
[OK ]  |   135 | 0x00001b87 | 0xff | 0xff
[OK ]  |   136 | 0x00001b88 | 0xec | 0xec
[OK ]  |   137 | 0x00001b89 | 0xfd | 0xfd
[OK ]  |   138 | 0x00001b8a | 0xff | 0xff
[OK ]  |   139 | 0x00001b8b | 0xff | 0xff
[OK ]  |   140 | 0x00001b8c | 0x83 | 0x83
[OK ]  |   141 | 0x00001b8d | 0x01 | 0x01
[OK ]  |   142 | 0x00001b8e | 0x01 | 0x01
[OK ]  |   143 | 0x00001b8f | 0x00 | 0x00
[OK ]  |   144 | 0x00001b90 | 0xa9 | 0xa9
[OK ]  |   145 | 0x00001b91 | 0xc1 | 0xc1
[OK ]  |   146 | 0x00001b92 | 0xff | 0xff
[OK ]  |   147 | 0x00001b93 | 0xff | 0xff
[OK ]  |   148 | 0x00001b94 | 0xe4 | 0xe4
[OK ]  |   149 | 0x00001b95 | 0x8c | 0x8c
[OK ]  |   150 | 0x00001b96 | 0x00 | 0x00
[OK ]  |   151 | 0x00001b97 | 0x00 | 0x00
[OK ]  |   152 | 0x00001b98 | 0x7d | 0x7d
[OK ]  |   153 | 0x00001b99 | 0xab | 0xab
[OK ]  |   154 | 0x00001b9a | 0xff | 0xff
[OK ]  |   155 | 0x00001b9b | 0xff | 0xff
[OK ]  |   156 | 0x00001b9c | 0x62 | 0x62
[OK ]  |   157 | 0x00001b9d | 0x6d | 0x6d
[OK ]  |   158 | 0x00001b9e | 0xff | 0xff
[OK ]  |   159 | 0x00001b9f | 0xff | 0xff
[OK ]  |   160 | 0x00001ba0 | 0x65 | 0x65
[OK ]  |   161 | 0x00001ba1 | 0xa1 | 0xa1
[OK ]  |   162 | 0x00001ba2 | 0xff | 0xff
[OK ]  |   163 | 0x00001ba3 | 0xff | 0xff
[OK ]  |   164 | 0x00001ba4 | 0xa5 | 0xa5
[OK ]  |   165 | 0x00001ba5 | 0x8e | 0x8e
[OK ]  |   166 | 0x00001ba6 | 0xff | 0xff
[OK ]  |   167 | 0x00001ba7 | 0xff | 0xff
[OK ]  |   168 | 0x00001ba8 | 0xbb | 0xbb
[OK ]  |   169 | 0x00001ba9 | 0xf1 | 0xf1
[OK ]  |   170 | 0x00001baa | 0x00 | 0x00
[OK ]  |   171 | 0x00001bab | 0x00 | 0x00
[OK ]  |   172 | 0x00001bac | 0x4a | 0x4a
[OK ]  |   173 | 0x00001bad | 0x99 | 0x99
[OK ]  |   174 | 0x00001bae | 0xff | 0xff
[OK ]  |   175 | 0x00001baf | 0xff | 0xff
[OK ]  |   176 | 0x00001bb0 | 0x73 | 0x73
[OK ]  |   177 | 0x00001bb1 | 0x80 | 0x80
[OK ]  |   178 | 0x00001bb2 | 0x00 | 0x00
[OK ]  |   179 | 0x00001bb3 | 0x00 | 0x00
[OK ]  |   180 | 0x00001bb4 | 0x67 | 0x67
[OK ]  |   181 | 0x00001bb5 | 0x52 | 0x52
[OK ]  |   182 | 0x00001bb6 | 0x00 | 0x00
[OK ]  |   183 | 0x00001bb7 | 0x00 | 0x00
[OK ]  |   184 | 0x00001bb8 | 0x55 | 0x55
[OK ]  |   185 | 0x00001bb9 | 0x42 | 0x42
[OK ]  |   186 | 0x00001bba | 0xff | 0xff
[OK ]  |   187 | 0x00001bbb | 0xff | 0xff
[OK ]  |   188 | 0x00001bbc | 0x03 | 0x03
[OK ]  |   189 | 0x00001bbd | 0xca | 0xca
[OK ]  |   190 | 0x00001bbe | 0x00 | 0x00
[OK ]  |   191 | 0x00001bbf | 0x00 | 0x00
[OK ]  |   192 | 0x00001bc0 | 0xcd | 0xcd
[OK ]  |   193 | 0x00001bc1 | 0xd5 | 0xd5
[OK ]  |   194 | 0x00001bc2 | 0xff | 0xff
[OK ]  |   195 | 0x00001bc3 | 0xff | 0xff
[OK ]  |   196 | 0x00001bc4 | 0x9d | 0x9d
[OK ]  |   197 | 0x00001bc5 | 0x58 | 0x58
[OK ]  |   198 | 0x00001bc6 | 0x00 | 0x00
[OK ]  |   199 | 0x00001bc7 | 0x00 | 0x00
[OK ]  |   200 | 0x00001bc8 | 0x59 | 0x59
[OK ]  |   201 | 0x00001bc9 | 0x13 | 0x13
[OK ]  |   202 | 0x00001bca | 0x00 | 0x00
[OK ]  |   203 | 0x00001bcb | 0x00 | 0x00
