--------------------------------------------------
[TB] Compare DRAM OFMAP vs GOLDEN
[TB] ofmap_base = 0x00240000, bytes = 32768
--------------------------------------------------
Result | Index | Address    | DUT  | Golden
-------|-------|------------|------|-------
[OK ]  |     0 | 0x00240000 | 0x0c | 0x0c
[OK ]  |     1 | 0x00240001 | 0x3b | 0x3b
[OK ]  |     2 | 0x00240002 | 0x03 | 0x03
[OK ]  |     3 | 0x00240003 | 0x00 | 0x00
[OK ]  |     4 | 0x00240004 | 0x65 | 0x65
[OK ]  |     5 | 0x00240005 | 0xcf | 0xcf
[OK ]  |     6 | 0x00240006 | 0x06 | 0x06
[OK ]  |     7 | 0x00240007 | 0x00 | 0x00
[OK ]  |     8 | 0x00240008 | 0xd5 | 0xd5
[OK ]  |     9 | 0x00240009 | 0x71 | 0x71
[OK ]  |    10 | 0x0024000a | 0x0a | 0x0a
[OK ]  |    11 | 0x0024000b | 0x00 | 0x00
[OK ]  |    12 | 0x0024000c | 0x08 | 0x08
[OK ]  |    13 | 0x0024000d | 0x70 | 0x70
[OK ]  |    14 | 0x0024000e | 0x0b | 0x0b
[OK ]  |    15 | 0x0024000f | 0x00 | 0x00
[OK ]  |    16 | 0x00240010 | 0x0d | 0x0d
[OK ]  |    17 | 0x00240011 | 0x3d | 0x3d
[OK ]  |    18 | 0x00240012 | 0xee | 0xee
[OK ]  |    19 | 0x00240013 | 0xff | 0xff
[OK ]  |    20 | 0x00240014 | 0xd2 | 0xd2
[OK ]  |    21 | 0x00240015 | 0x18 | 0x18
[OK ]  |    22 | 0x00240016 | 0xfc | 0xfc
[OK ]  |    23 | 0x00240017 | 0xff | 0xff
[OK ]  |    24 | 0x00240018 | 0x49 | 0x49
[OK ]  |    25 | 0x00240019 | 0xf5 | 0xf5
[OK ]  |    26 | 0x0024001a | 0xfb | 0xfb
[OK ]  |    27 | 0x0024001b | 0xff | 0xff
[OK ]  |    28 | 0x0024001c | 0x2f | 0x2f
[OK ]  |    29 | 0x0024001d | 0x98 | 0x98
[OK ]  |    30 | 0x0024001e | 0xf1 | 0xf1
[OK ]  |    31 | 0x0024001f | 0xff | 0xff
[OK ]  |    32 | 0x00240020 | 0x7e | 0x7e
[OK ]  |    33 | 0x00240021 | 0xce | 0xce
[OK ]  |    34 | 0x00240022 | 0x03 | 0x03
[OK ]  |    35 | 0x00240023 | 0x00 | 0x00
[OK ]  |    36 | 0x00240024 | 0x2f | 0x2f
[OK ]  |    37 | 0x00240025 | 0x5e | 0x5e
[OK ]  |    38 | 0x00240026 | 0x05 | 0x05
[OK ]  |    39 | 0x00240027 | 0x00 | 0x00
[OK ]  |    40 | 0x00240028 | 0xa9 | 0xa9
[OK ]  |    41 | 0x00240029 | 0x61 | 0x61
[OK ]  |    42 | 0x0024002a | 0x06 | 0x06
[OK ]  |    43 | 0x0024002b | 0x00 | 0x00
[OK ]  |    44 | 0x0024002c | 0x65 | 0x65
[OK ]  |    45 | 0x0024002d | 0x0e | 0x0e
[OK ]  |    46 | 0x0024002e | 0x0d | 0x0d
[OK ]  |    47 | 0x0024002f | 0x00 | 0x00
[OK ]  |    48 | 0x00240030 | 0x8e | 0x8e
[OK ]  |    49 | 0x00240031 | 0x40 | 0x40
[OK ]  |    50 | 0x00240032 | 0x04 | 0x04
[OK ]  |    51 | 0x00240033 | 0x00 | 0x00
[OK ]  |    52 | 0x00240034 | 0x58 | 0x58
[OK ]  |    53 | 0x00240035 | 0x02 | 0x02
[OK ]  |    54 | 0x00240036 | 0x0a | 0x0a
[OK ]  |    55 | 0x00240037 | 0x00 | 0x00
[OK ]  |    56 | 0x00240038 | 0x27 | 0x27
[OK ]  |    57 | 0x00240039 | 0x48 | 0x48
[OK ]  |    58 | 0x0024003a | 0x0c | 0x0c
[OK ]  |    59 | 0x0024003b | 0x00 | 0x00
[OK ]  |    60 | 0x0024003c | 0x29 | 0x29
[OK ]  |    61 | 0x0024003d | 0x47 | 0x47
[OK ]  |    62 | 0x0024003e | 0xfb | 0xfb
[OK ]  |    63 | 0x0024003f | 0xff | 0xff
[OK ]  |    64 | 0x00240040 | 0x10 | 0x10
[OK ]  |    65 | 0x00240041 | 0x20 | 0x20
[OK ]  |    66 | 0x00240042 | 0xfc | 0xfc
[OK ]  |    67 | 0x00240043 | 0xff | 0xff
[OK ]  |    68 | 0x00240044 | 0x1c | 0x1c
[OK ]  |    69 | 0x00240045 | 0xff | 0xff
[OK ]  |    70 | 0x00240046 | 0x06 | 0x06
[OK ]  |    71 | 0x00240047 | 0x00 | 0x00
[OK ]  |    72 | 0x00240048 | 0x2b | 0x2b
[OK ]  |    73 | 0x00240049 | 0x76 | 0x76
[OK ]  |    74 | 0x0024004a | 0x00 | 0x00
[OK ]  |    75 | 0x0024004b | 0x00 | 0x00
[OK ]  |    76 | 0x0024004c | 0x6e | 0x6e
[OK ]  |    77 | 0x0024004d | 0xbf | 0xbf
[OK ]  |    78 | 0x0024004e | 0x07 | 0x07
[OK ]  |    79 | 0x0024004f | 0x00 | 0x00
[OK ]  |    80 | 0x00240050 | 0xad | 0xad
[OK ]  |    81 | 0x00240051 | 0x48 | 0x48
[OK ]  |    82 | 0x00240052 | 0xfd | 0xfd
[OK ]  |    83 | 0x00240053 | 0xff | 0xff
[OK ]  |    84 | 0x00240054 | 0xcb | 0xcb
[OK ]  |    85 | 0x00240055 | 0x9a | 0x9a
[OK ]  |    86 | 0x00240056 | 0x02 | 0x02
[OK ]  |    87 | 0x00240057 | 0x00 | 0x00
[OK ]  |    88 | 0x00240058 | 0x69 | 0x69
[OK ]  |    89 | 0x00240059 | 0x93 | 0x93
[OK ]  |    90 | 0x0024005a | 0xfc | 0xfc
[OK ]  |    91 | 0x0024005b | 0xff | 0xff
[OK ]  |    92 | 0x0024005c | 0xab | 0xab
[OK ]  |    93 | 0x0024005d | 0x5b | 0x5b
[OK ]  |    94 | 0x0024005e | 0xfd | 0xfd
[OK ]  |    95 | 0x0024005f | 0xff | 0xff
