layer,glb_usage,glb_read,glb_write,glb_access,dram_read,dram_write,dram_access,macs,intensity,peak_performance,peak_bandwidth,cycles,latency,energy_total,power_total,tk,tn,mode,M,K,N
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,32,12
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,32,12
"WS(3,4,12)",2904,2520,384,2904,2520,384,2904,144,0.0495868,48,4,4960,2.541e-05,0.610128,24011.3,6,8,1,3,6,8
"WS(3,4,12)",2904,2520,384,2904,2520,384,2904,144,0.0495868,48,4,4960,2.541e-05,0.610128,24011.3,6,8,1,3,6,8
"WS(3,128,256)",9612,58752,6144,64896,35376,3072,38448,98304,2.5568,48,4,28270,0.00040254,8.53517,21203.3,6,8,1,3,11,16
"WS(3,8192,256)",10968,3696000,350208,4046208,2150496,3072,2153568,6291456,2.92141,48,4,1219950,0.0235753,483.759,20519.7,6,8,1,3,6,32
"WS(3,8192,256)",10968,3696000,350208,4046208,2150496,3072,2153568,6291456,2.92141,48,4,1219950,0.0235753,483.759,20519.7,6,8,1,3,6,32
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(1,128,256)",8836,44160,2048,46208,34320,1024,35344,32768,0.927116,48,4,23482,0.00033642,7.59642,22580.2,6,8,1,1,11,16
"WS(3,8192,256)",10968,3696000,350208,4046208,2150496,3072,2153568,6291456,2.92141,48,4,1219950,0.0235753,483.759,20519.7,6,8,1,3,6,32
"WS(3,8192,256)",10968,3696000,350208,4046208,2150496,3072,2153568,6291456,2.92141,48,4,1219950,0.0235753,483.759,20519.7,6,8,1,3,6,32
"WS(3,8192,256)",10968,3696000,350208,4046208,2150496,3072,2153568,6291456,2.92141,48,4,1219950,0.0235753,483.759,20519.7,6,8,1,3,6,32
"WS(4,8192,256)",11552,4227584,466944,4694528,2166912,4096,2171008,8388608,3.86392,48,4,1279688,0.0253051,497.924,19676.8,6,8,1,4,6,32
"WS(4,8192,256)",11552,4227584,466944,4694528,2166912,4096,2171008,8388608,3.86392,48,4,1279688,0.0253051,497.924,19676.8,6,8,1,4,6,32
"WS(16,8192,256)",18560,10606592,1867776,12474368,2363904,16384,2380288,33554432,14.0968,48,4,1996544,0.0460627,667.91,14500,6,8,1,16,6,32
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",34816,36057088,7471104,43528192,4202496,65536,4268032,134217728,31.4472,48,4,4863968,0.135496,1557.32,11493.5,6,8,1,64,12,16
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(32,8192,256)",53504,19111936,3735552,22847488,2363904,32768,2396672,67108864,28.0009,48,4,2952352,0.0720979,842.027,11678.9,6,8,1,32,6,64
"WS(4,8192,256)",60256,4219392,466944,4686336,2134080,4096,2138176,8388608,3.92325,48,4,1279688,0.0250794,491.276,19588.8,6,8,1,4,18,64
"WS(4,8192,256)",60256,4219392,466944,4686336,2134080,4096,2138176,8388608,3.92325,48,4,1279688,0.0250794,491.276,19588.8,6,8,1,4,18,64
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(128,8192,256)",60416,70012928,14942208,84955136,6303744,131072,6434816,268435456,41.7161,48,4,8687200,0.252605,2673.39,10583.2,6,8,1,128,12,16
"WS(256,8192,256)",53504,138186752,29884416,168071168,18911232,262144,19173376,536870912,28.0009,48,4,16333664,0.540012,6589.13,12201.8,6,8,1,256,6,8
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,72,32)",15104,31488,8192,39680,6912,8192,15104,147456,9.76271,48,4,24114,0.0001936,3.71251,19176.2,6,8,1,64,6,8
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,12,32
"WS(64,72,32)",15104,31488,8192,39680,6912,8192,15104,147456,9.76271,48,4,24114,0.0001936,3.71251,19176.2,6,8,1,64,6,8
"WS(64,72,64)",25600,62976,16384,79360,9216,16384,25600,294912,11.52,48,4,39588,0.0003584,6.50342,18145.7,6,8,1,64,6,16
"WS(64,72,64)",25600,62976,16384,79360,9216,16384,25600,294912,11.52,48,4,39588,0.0003584,6.50342,18145.7,6,8,1,64,6,16
"WS(64,144,64)",34816,125952,32768,158720,18432,16384,34816,589824,16.9412,48,4,50056,0.0006144,9.73005,15836.7,6,8,1,64,12,16
"WS(64,144,64)",34816,125952,32768,158720,18432,16384,34816,589824,16.9412,48,4,50056,0.0006144,9.73005,15836.7,6,8,1,64,12,16
"WS(1,4096,1000)",38072,5263616,233472,5497088,4112208,4000,4116208,4096000,0.995091,48,4,2200418,0.039469,886.404,22458.2,6,8,1,1,6,125
"WS(1,4096,1000)",38072,5263616,233472,5497088,4112208,4000,4116208,4096000,0.995091,48,4,2200418,0.039469,886.404,22458.2,6,8,1,1,6,125
"WS(1,8192,256)",56536,2630784,116736,2747520,2109456,1024,2110480,2097152,0.993685,48,4,1100474,0.0200593,453.766,22621.2,6,8,1,1,18,64
"WS(1,8192,256)",56536,2630784,116736,2747520,2109456,1024,2110480,2097152,0.993685,48,4,1100474,0.0200593,453.766,22621.2,6,8,1,1,18,64
"WS(1,8192,256)",56536,2630784,116736,2747520,2109456,1024,2110480,2097152,0.993685,48,4,1100474,0.0200593,453.766,22621.2,6,8,1,1,18,64
"WS(1,8192,256)",56536,2630784,116736,2747520,2109456,1024,2110480,2097152,0.993685,48,4,1100474,0.0200593,453.766,22621.2,6,8,1,1,18,64
"WS(64,4096,1024)",46592,72114176,14942208,87056384,6303744,262144,6565888,268435456,40.8833,48,4,9883136,0.258678,2720.61,10517.4,6,8,1,64,6,32
"WS(64,4096,128)",46592,9014272,1867776,10882048,787968,32768,820736,33554432,40.8833,48,4,1242952,0.0323347,340.077,10517.4,6,8,1,64,6,32
"WS(64,256,128)",50176,503808,131072,634880,67584,32768,100352,2097152,20.898,48,4,133344,0.0022144,30.6135,13824.7,6,8,1,64,22,16
"WS(1,256,100)",27064,44160,2048,46208,26664,400,27064,25600,0.945906,48,4,22702,0.00028467,5.92608,20817.4,6,8,1,1,22,25
"WS(3,256,160)",44952,73440,7680,81120,43032,1920,44952,122880,2.73358,48,4,32150,0.00048375,10.0474,20769.7,6,8,1,3,22,40
"WS(3,777,160)",27684,201960,21120,223080,136500,1920,138420,372960,2.69441,48,4,78700,0.00142282,30.6607,21549.2,6,8,1,3,65,8
"WS(3,360,96)",36792,55080,5760,60840,35640,1152,36792,103680,2.818,48,4,24540,0.00038205,8.17416,21395.5,6,8,1,3,30,24
"WS(3,360,288)",36792,165240,17280,182520,106920,3456,110376,311040,2.818,48,4,67320,0.00114615,24.5225,21395.5,6,8,1,3,30,24
"WS(3,360,1920)",60600,1101600,115200,1216800,704160,23040,727200,2073600,2.85149,48,4,430950,0.007587,161.755,21320,6,8,1,3,30,40
"WS(3,360,1920)",60600,1101600,115200,1216800,704160,23040,727200,2073600,2.85149,48,4,430950,0.007587,161.755,21320,6,8,1,3,30,40
"WS(1,360,1900)",58600,828000,38400,866400,695520,7680,703200,684000,0.972696,48,4,373170,0.006561,150.672,22964.8,6,8,1,1,30,40
"WS(1,363,1901)",60532,993600,46080,1039680,718704,7680,726384,690063,0.949998,48,4,445290,0.0071391,157.054,21999.1,6,8,1,1,31,40
"WS(1,363,1901)",60532,993600,46080,1039680,718704,7680,726384,690063,0.949998,48,4,445290,0.0071391,157.054,21999.1,6,8,1,1,31,40
"WS(1,363,1901)",60532,993600,46080,1039680,718704,7680,726384,690063,0.949998,48,4,445290,0.0071391,157.054,21999.1,6,8,1,1,31,40
"WS(2,363,1901)",61544,1157760,92160,1249920,723168,15360,738528,1380126,1.86875,48,4,478020,0.0077406,162.965,21053.3,6,8,1,2,31,40
"WS(7,363,1901)",53804,1978560,322560,2301120,753300,53760,807060,4830441,5.98523,48,4,641670,0.0107969,194.084,17975.9,6,8,1,7,31,32
"WS(7,810,893)",59728,1846656,301056,2147712,811104,25088,836192,5063310,6.0552,48,4,567766,0.0105955,198.842,18766.7,6,8,1,7,68,16
"WS(7,810,893)",59728,1846656,301056,2147712,811104,25088,836192,5063310,6.0552,48,4,567766,0.0105955,198.842,18766.7,6,8,1,7,68,16
