layer,glb_usage,glb_read,glb_write,glb_access,dram_read,dram_write,dram_access,macs,intensity,peak_performance,peak_bandwidth,cycles,latency,energy_total,power_total,tk,tn,mode,M,K,N
linear_OS,56240,8744448,77824,8822272,8470656,1024,8471680,2097152,0.247549,48,4,595888,0.0750037,1786.75,23822.2,6,8,1,1,32,36
linear_WS,56536,9131520,466944,9598464,8437824,1024,8438848,2097152,0.248512,48,4,606528,0.076739,1787.95,23299.1,6,8,1,1,64,18
linear_OS,56240,8744448,77824,8822272,8470656,1024,8471680,2097152,0.247549,48,4,595888,0.0750037,1786.75,23822.2,6,8,1,1,32,36
linear_OS,56240,8744448,77824,8822272,8470656,1024,8471680,2097152,0.247549,48,4,595888,0.0750037,1786.75,23822.2,6,8,1,1,32,36
linear_WS,56536,9131520,466944,9598464,8437824,1024,8438848,2097152,0.248512,48,4,606528,0.076739,1787.95,23299.1,6,8,1,1,64,18
linear_IS,56536,8901696,466944,9368640,8437824,1024,8438848,2097152,0.248512,48,4,606528,0.0761644,1785.65,23444.7,6,8,1,1,64,18
linear_OS,56240,8744448,77824,8822272,8470656,1024,8471680,2097152,0.247549,48,4,595888,0.0750037,1786.75,23822.2,6,8,1,1,32,36
linear_OS,56240,8744448,77824,8822272,8470656,1024,8471680,2097152,0.247549,48,4,595888,0.0750037,1786.75,23822.2,6,8,1,1,32,36
"IS(1,8192,256)",56536,2573328,116736,2690064,2109456,1024,2110480,2097152,0.993685,48,4,3870078,0.0199157,453.191,22755.5,6,8,1,1,64,18
"WS(1,8192,256)",56536,2630784,116736,2747520,2109456,1024,2110480,2097152,0.993685,48,4,1100474,0.0200593,453.766,22621.2,6,8,1,1,64,18
"OS(1,8192,256)",56240,2243712,19456,2263168,2117664,1024,2118688,2097152,0.989835,48,4,3819304,0.0188997,450.564,23839.7,6,8,1,1,32,36
"OS(64,8192,256)",64264,30624000,811008,31435008,4268160,65536,4333696,134217728,30.9707,48,4,81026472,0.105673,1449.52,13717.1,1,8,6,6,16,57
"IS(64,8192,256)",60848,127666176,14942208,142608384,3151872,65536,3217408,134217728,41.7161,48,4,89970312,0.37663,2338,6207.69,3,8,2,2,32,18
"WS(64,8192,256)",60416,36057088,7471104,43528192,3151872,65536,3217408,134217728,41.7161,48,4,4863968,0.128929,1347.2,10449.1,6,8,1,64,32,12
