layer,glb_usage,glb_read,glb_write,glb_access,dram_read,dram_write,dram_access,macs,intensity,peak_performance,peak_bandwidth,latency,energy_total,power_total,tk,tn,mode,M,K,N
"OS(32,8192,256)",64768,63636480,3612672,67249152,10536960,32768,10569728,67108864,6.34916,48,4,0.234184,2920.65,12471.6,1,8,6,16,32,28
"WS(32,8192,256)",53504,31719424,14942208,46661632,9455616,32768,9488384,67108864,7.07274,48,4,0.175956,2498.51,14199.6,6,8,1,32,64,6
"IS(32,8192,256)",46592,139493904,46159872,185653776,9441792,32768,9474560,67108864,7.08306,48,4,0.52335,3885.67,7424.6,2,8,3,32,64,4
"OS(256,8192,256)",63320,441473088,10831872,452304960,76476480,262144,76738624,536870912,6.9961,48,4,1.61038,20944.5,13006,1,8,6,6,8,67
"WS(256,8192,256)",53504,194920448,119537664,314458112,75644928,262144,75907072,536870912,7.07274,48,4,1.26056,19399.7,15389.7,6,8,1,256,8,6
"IS(256,8192,256)",64688,1141969920,361414656,1503384576,76170240,262144,76432384,536870912,7.02413,48,4,4.23616,31394.1,7410.97,2,8,3,3,8,76
"OS(256,8192,256)",63320,441473088,10831872,452304960,76476480,262144,76738624,536870912,6.9961,48,4,1.61038,20944.5,13006,1,8,6,6,8,67
"OS(256,8192,256)",63320,441473088,10831872,452304960,76476480,262144,76738624,536870912,6.9961,48,4,1.61038,20944.5,13006,1,8,6,6,8,67
"IS(256,8192,256)",64688,1141969920,361414656,1503384576,19042560,262144,19304704,536870912,27.8104,48,4,3.87912,19968.5,5147.7,2,8,3,3,8,76
"IS(1,8192,256)",56536,8901696,466944,9368640,2109456,1024,2110480,2097152,0.993685,48,4,0.0366121,519.977,14202.3,6,8,1,1,64,18
"IS(1,8192,256)",56536,8901696,466944,9368640,2109456,1024,2110480,2097152,0.993685,48,4,0.0366121,519.977,14202.3,6,8,1,1,64,18
"WS(1,8192,256)",56536,9131520,466944,9598464,2109456,1024,2110480,2097152,0.993685,48,4,0.0371867,522.275,14044.7,6,8,1,1,64,18
"OS(1,8192,256)",56240,8744448,77824,8822272,2117664,1024,2118688,2097152,0.989835,48,4,0.0352975,516.155,14623,6,8,1,1,32,36
"IS(1,8192,256)",56536,2573328,116736,2690064,2109456,1024,2110480,2097152,0.993685,48,4,0.0199157,453.191,22755.5,6,8,1,1,64,18
"WS(1,8192,256)",56536,9131520,466944,9598464,2109456,1024,2110480,2097152,0.993685,48,4,0.0371867,522.275,14044.7,6,8,1,1,64,18
"OS(1,8192,256)",56240,8744448,77824,8822272,2117664,1024,2118688,2097152,0.989835,48,4,0.0352975,516.155,14623,6,8,1,1,32,36
"IS(1,8192,256)",56536,2573328,116736,2690064,2109456,1024,2110480,2097152,0.993685,48,4,0.0199157,453.191,22755.5,6,8,1,1,64,18
"WS(1,8192,256)",56536,9131520,466944,9598464,2109456,1024,2110480,2097152,0.993685,48,4,0.0371867,522.275,14044.7,6,8,1,1,64,18
"OS(1,8192,256)",56240,8744448,77824,8822272,2117664,1024,2118688,2097152,0.989835,48,4,0.0352975,516.155,14623,6,8,1,1,32,36
"IS(1,8192,256)",56536,2573328,116736,2690064,2109456,1024,2110480,2097152,0.993685,48,4,0.0199157,453.191,22755.5,6,8,1,1,64,18
"WS(1,8192,256)",56536,2630784,116736,2747520,2109456,1024,2110480,2097152,0.993685,48,4,0.0200593,453.766,22621.2,6,8,1,1,64,18
"OS(1,8192,256)",56240,2243712,19456,2263168,2117664,1024,2118688,2097152,0.989835,48,4,0.0188997,450.564,23839.7,6,8,1,1,32,36
